Movie,Director,Lead Actors,Release Year,Genre(s),Rating,Duration (hr:min),Language(s)
Real Women Have Curves,Patricia Cardoso,"America Ferrera, Lupe Ontiveros",2002,"Drama, Comedy",PG-13,1:30,"English, Spanish"
Como agua para chocolate (Like Water For Chocolate),Alfonso Arau,"Lumi Cavazos, Marco Leonardi, Regina Torné",1992,"Drama, Romance",R,1:45,Spanish
"Wo hu cang long (Crouching Tiger, Hidden Dragon)",Ang Lee,"Ziyi Zhang, Michelle Yeoh, Chow Yun-Fat",2000,"Action, Adventure, Drama, Romance",PG-13,2,Mandarin
Yin shi nan nu (Eat Drink Man Woman),Ang Lee,"Shihung Lung, Kuei-Mei Yang, Yu-Wen Wang, Chien-Lien Wu",1994,"Comedy, Drama, Romance",,2:04,Mandarin
Love and Basketball,Gina Prince Bythe-Wood,"Sanaa Lathan, Omar Epps",2000,"Drama, Romance, Sport",PG-13,2:04,English
She's Gotta Have It,Spike Lee,"Tracy Camilla Johns, Tommy Redmond Hicks, John Canada Terrell, Spike Lee, Joie Lee",1986,"Comedy, Romance",R,1:24,English
Do the Right Thing,Spike Lee,"Spike Lee, Ossie Davis, Danny Aiello, Bill Nunn, John Turturro, Ruby Dee, Giancarlo Esposito",1989,"Comedy, Drama",R,2,English
School Daze,Spike Lee,"Laurence Fishburne, Giancarlo Esposito, Tisha Campbell",1988,"Comedy, Drama, Musical",R,2:04,English
Selena,Gregory Nava,"Jennifer Lopez, Edward James Olmos",1997,"Biography, Drama, Music, Romance",PG,2:07,"English, Spanish"
Stand and Deliver,Ramón Menéndez,"Edward James Olmos,",1988,"Biography, Drama",PG,1:43,"English, Spanish"
La Bamba,Luis Valdez,"Lou Diamond Phillips, Esai Morales",1987,Biography,PG-13,1:48,"English, Spanish"
Always Be My Maybe,,,,,,,
Sorry To Bother You,,,,,,,
Blue Bayou,,,,,,,
Everything Everywhere All At Once,,,,,,,
Blind Spotting,,,,,,,
The Peanut Butter Falcon,,,,,,,
Sound of Metal,,,,,,,
Rashomon,,,,,,,
Smoke Signals,,,,,,,
Joy Luck Club,,,,,,,
Kanehsatake: 270 Years of Resistance,,,,,,,
Whale Rider,,,,,,,
Chungking Express,,,,,,,
Nope,,,,,,,
Get Out,,,,,,,
Parasite,,,,,,,
Amelie,,,,,,,
Blue is the Warmest Color,,,,,,,
Moonlight,,,,,,,
Friday,,,,,,,
Boyz in the Hood,,,,,,,
